direction,variant,target,model,train_n,test_n,train_pos_rate,test_pos_rate,train_auc,test_auc,auc_drop,test_bal_acc,pred_pos_pct
A_to_B,P1_v2_text_pca,label_1y,logistic_regression,237,188,0.443,0.138,0.8228,0.5646,0.2582,0.5332,40.4
A_to_B,P1_v2_text_pca,label_1y,ridge,237,188,0.443,0.138,0.8245,0.5643,0.2602,0.5995,36.7
A_to_B,P1_v2_text_pca,label_1y,random_forest,237,188,0.443,0.138,0.9965,0.5876,0.4089,0.5088,29.3
A_to_B,P1_v2_text_pca,label_1y,xgboost,237,188,0.443,0.138,1.0,0.628,0.372,0.5541,33.0
A_to_B,P2_v2_structured,label_1y,logistic_regression,258,259,0.438,0.166,0.8143,0.4954,0.3189,0.4891,29.7
A_to_B,P2_v2_structured,label_1y,ridge,258,259,0.438,0.166,0.842,0.4795,0.3625,0.4659,31.3
A_to_B,P2_v2_structured,label_1y,random_forest,258,259,0.438,0.166,0.9667,0.5188,0.448,0.5101,33.2
A_to_B,P2_v2_structured,label_1y,xgboost,258,259,0.438,0.166,0.9998,0.4807,0.5191,0.5148,37.1
A_to_B,P3_v2_combined_pca,label_1y,logistic_regression,237,188,0.443,0.138,0.9136,0.5767,0.337,0.5472,30.3
A_to_B,P3_v2_combined_pca,label_1y,ridge,237,188,0.443,0.138,0.9351,0.5116,0.4234,0.5038,53.2
A_to_B,P3_v2_combined_pca,label_1y,random_forest,237,188,0.443,0.138,0.9991,0.6282,0.3709,0.6104,27.1
A_to_B,P3_v2_combined_pca,label_1y,xgboost,237,188,0.443,0.138,1.0,0.6396,0.3604,0.6135,26.6
B_to_A,P1_v2_text_pca,label_1y,logistic_regression,188,237,0.138,0.443,0.8953,0.5176,0.3777,0.5097,41.8
B_to_A,P1_v2_text_pca,label_1y,ridge,188,237,0.138,0.443,0.8751,0.5189,0.3562,0.4907,6.8
B_to_A,P1_v2_text_pca,label_1y,random_forest,188,237,0.138,0.443,1.0,0.5723,0.4277,0.5048,0.4
B_to_A,P1_v2_text_pca,label_1y,xgboost,188,237,0.138,0.443,1.0,0.5395,0.4605,0.5229,5.1
B_to_A,P2_v2_structured,label_1y,logistic_regression,259,258,0.166,0.438,0.8098,0.5434,0.2664,0.5134,35.7
B_to_A,P2_v2_structured,label_1y,ridge,259,258,0.166,0.438,0.8298,0.5356,0.2942,0.5132,7.4
B_to_A,P2_v2_structured,label_1y,random_forest,259,258,0.166,0.438,0.982,0.5735,0.4085,0.5093,4.3
B_to_A,P2_v2_structured,label_1y,xgboost,259,258,0.166,0.438,0.9996,0.5931,0.4065,0.5319,9.7
B_to_A,P3_v2_combined_pca,label_1y,logistic_regression,188,237,0.138,0.443,0.9777,0.5885,0.3892,0.5449,42.6
B_to_A,P3_v2_combined_pca,label_1y,ridge,188,237,0.138,0.443,0.9782,0.5348,0.4434,0.515,27.8
B_to_A,P3_v2_combined_pca,label_1y,random_forest,188,237,0.138,0.443,1.0,0.5999,0.4001,0.5,0.0
B_to_A,P3_v2_combined_pca,label_1y,xgboost,188,237,0.138,0.443,1.0,0.5594,0.4406,0.5249,6.8
